Headlines,Article,Companies,Sectors,Interest
"Domestic PV wholesales up 3% at 3,37,757 units in June: SIAM","Passenger vehicle wholesales in India rose 3 per cent year-on-year to 3,37,757 units in June, automobile industry body SIAM said on Friday. The overall passenger vehicle (PV) dispatches from companies to dealers stood at 3,27,788 units in June 2023. As per the data issued by Society of Indian Automobile Manufacturers (SIAM), two-wheeler wholesales rose 21 per cent to 16,14,154 units last month, as compared with 13,30,826 units in June 2023. Three-wheeler wholesales increased 12 per cent to 59,544 units from 53,025 units in June last year.
       ",,,1
What can the Union Budget do to address the woes of Indian agriculture?,"India is primarily an agrarian economy. However, farmers are getting the much-deserved attention now, only after the disappointing loss of the ruling party in key states in the recent Lok Sabha election. A slew of measures has been announced recently in favour of the farming community. The Maharashtra government announced power subsidy to the tune of Rs 14,000 crore to farmers, an incentive of Rs 1,300 crore for paddy growers, and a subsidy of ~Rs 200 crore for milk",,,0
Weekly Tactical Pick: Why this affordable housing play deserves attention,"This week’s tactical pick is Repco Home Finance (CMP: Rs 559; Mcap: Rs 3,497 crore), an established housing finance company (HFC) in South India that serves salaried and self-employed borrower segments. While Repco mainly operates in the affordable housing segment (average ticket size is around Rs 15 lakh) that has good growth potential, the loan growth of the company was modest in FY24. Repco’s overall loan book increased 9 percent to Rs 13,500 crore as of
                                    ",LIC Housing Finance,Financial Services,0
Boeing warns customers of further delays on 737 Max,"Boeing has notified some 737 Max customers in recent weeks that aircraft due for delivery in 2025 and 2026 might face additional delays of three to six months, Bloomberg News reported on Thursday, citing people familiar with the matter. Boeing did not immediately respond to a Reuters request for comment. Reuters reported last month citing two industry sources that Boeing informed its suppliers it was delaying a key production milestone for its 737 jet family by three months as Boeing's jet production has slowed sharply in the face of increased scrutiny from regulators, airlines and lawmakers. The planemaker in May had said that deliveries will not increase in the second quarter as originally expected.
       ",Boeing,Aerospace & Defense,1
"Oil rises on cooling US inflation, strong summer demand","Oil prices rose in early Asian trading hours on Friday as signs of strong summer demand and easing inflationary pressures in the world's biggest oil market, the United States, bolstered investor confidence. Brent crude futures rose 37 cents, or 0.4%, to $85.77 a barrel by 0031 GMT. U.S. West Texas Intermediate crude futures rose 50 cents, or 0.6%, to $83.12 a barrel. Both contracts gained in the prior two sessions, but Brent futures were set to decline about 1% week-over-week after four consecutive weeks of gains. WTI futures were virtually unchanged on a weekly basis. U.S. gasoline demand was at 9.4 million barrels per day (bpd) in the week ended July 5, the highest for the week that includes the Independence Day holiday since 2019, government data showed on Wednesday. Jet fuel demand on a four-week average basis was at its strongest since January 2020, according to the data. Strong fuel demand encouraged U.S. refiners to ramp up activity and draw from crude oil stockpiles, supporting prices. U.S. Gulf Coast refiners' net input of crude rose last week to more than 9.4 million bpd for the first time since January 2019, government data showed. WTI front-month futures recorded their steepest premium to the next-month contract since April, a signal of near-term supply tightness. U.S. government data on Thursday showed an unexpected decline in consumer prices in June, stoking hopes that the Federal Reserve will cut interest rates soon. The prospect of easing monetary policy has helped boost sentiment across the commodities sector, ANZ analyst Daniel Hynes wrote in a note. A weaker U.S. dollar has also increased investor appetite, he added. The U.S. dollar index slipped lower for a third consecutive session on Friday, as market participants raised their bets for a September U.S. interest rate cut.
       ",,,1
Adani Ports to invest $1.2 billion in transshipment terminal,"Adani Ports and Special Economic Zone plans to ramp up its investment to 100 billion rupees ($1.20 billion) to boost its southern India transshipment container port, Bloomberg News reported on Thursday. The investment in Vizhinjam port in the state of Kerala is part of the second phase of the project that is expected to finish by 2028, the report, which cited people with knowledge of the matter, added. Construction of the $900 million port had seen a four month-long standstill from protests in 2022. The port, which has strategic importance for both India and company owner Gautam Adani, an ally of Prime Minister Narendra Modi, will upon completion be the country's first container transhipment hub, rivaling Dubai, Singapore and Sri Lanka, Adani Ports has said. Container lines such as MSC Mediterranean Shipping Co., A.P. Moller - Maersk A/S, and Hapag-Lloyd are being wooed to call in at the port, Bloomberg News reported. Adani Ports did not immediately respond to a Reuters' request for comment.
       ",Adani Ports,Industrials,1
Tesla delays Robotaxi rollout in blow to Elon Musk’s autonomy drive,"Tesla Inc. is postponing its planned robotaxi unveiling to October to allow teams working on the project more time to build additional prototypes, according to people familiar with the decision. The roughly two-month delay has been communicated internally, said the people, who asked not to be identified because the information hadn’t been publicly announced. The design team was told this week to rework certain elements of the car, one of the people said. Chief Executive Officer Elon Musk set the initial Aug. 8 date for the event months ago, and optimism about the spectacle has contributed to an 11-day streak of gains that added more than $257 billion to Tesla’s market capitalization. The stock fell as much as 8.3% in intraday trading Thursday after Bloomberg News first reported the delay. The idea of creating an autonomous taxi service has been kicking around Tesla for years, dating at least as far back as when Musk authored a second “master plan” for the company in 2016. The CEO has prioritized the project in recent months over work on an electric vehicle cheaper than Tesla’s most affordable car, the Model 3 sedan. Musk has talked up Tesla’s work on autonomous-vehicle technology for over a decade and convinced customers to pay thousands of dollars for a suite of features the company markets as Full Self-Driving, or FSD. The name is a misnomer — FSD requires constant supervision and doesn’t render Teslas autonomous — but Musk and top engineers have been increasingly bullish about FSD in recent months as the company’s vehicle sales have slowed. Tesla delivered 6.6% fewer cars in the first half of the year, despite the company adding a new model — the Cybertruck — to its lineup. The automaker also produced 14% fewer vehicles in the second quarter than it did a year earlier to help curtail swelling inventory.
       ",Tesla,Automotive,0
Bain Capital to buy financial software vendor Envestnet in $4.5 billion deal,"Private equity firm Bain Capital will buy Envestnet in a $4.5 billion deal, with backing from a cohort of investors, including BlackRock and Fidelity Investments, the financial software vendor said on Thursday. Berwyn, Pennsylvania-based Envestnet offers software for wealth managers and data for financial institutions and investment research firms. Its clients include 16 of the 20 biggest U.S. banks and 48 of the 50 largest wealth management and brokerage firms. Reuters exclusively reported earlier this week that the firms were close to a deal that would value Envestnet at close to its stock price. Bain Capital is offering $63.15 per share in cash.Envestnet's stock had closed at $63.07 prior to the Reuters report. Last year, Envestnet added three new directors to end a board challenge from activist investor Impactive Capital that had been pushing the company to improve its performance by cutting costs. Envestnet is currently in a leadership transition. In January, CEO Bill Crager said he would step down from this role and continue with the company as a senior adviser starting in April. The company had explored a sale in 2022 after being approached by potential buyers. Reuters reported in April that Envestnet was again up for sale.Envestnet reported a better-than-expected profit in the first quarter. Last month, it said it was working with heavyweights such as BlackRock, Fidelity Investments, Franklin Templeton and State Street Global Advisors to build custom investment strategies.
       ",Envestnet,Financial Services,0
Govt appoints Sandeep Kumar as Director (Finance) at PFC,"The government has appointed Sandeep Kumar as Director (Finance) at Power Finance Corporation Limited (PFC), with effect from July 11, 2024. Before this appointment, he was the Executive Director (Finance) at PFC since January 1, 2020 and held the position of Chief Financial Officer (CFO), PFC said in a statement. ”The Government of India appointed Sandeep Kumar as Director (Finance) at Power Finance Corporation Limited (PFC), effective 11 July 2024,” it said. Sandeep Kumar has a distinguished career spanning over 34 years in the power and financial sectors. He holds a Bachelor’s degree in Commerce (Honours) and is a Fellow Member of the Institute of Chartered Accountants of India. He played a pivotal role in the successful roll-out of the Rs 1.12 trillion Liquidity Infusion Scheme (LIS) for the power distribution sector, a key initiative under the Government of India’s Atmanirbhar Bharat programme.
       ",Power Finance Corporation (PFC),Utilities,0
Hindustan Zinc gets power supply from Serentica 180 MW solar project,"Vedanta group firm Hindustan Zinc on Thursday said it has started receiving power supply from Serentica Renewables. The renewable energy is being used for Hindustan Zinc’s operational business units in Rajasthan. ”On Global Energy Independence Day, Hindustan Zinc… announced the commencement of the first phase of renewable energy integration from Serentica Renewables,” the Vedanta group firm said in a statement. Hindustan Zinc said it has entered into an agreement with Serentica for the supply of 450 MW power round-the-clock. While Hindustan Zinc has existing captive solar power capacity of 40.70 MW of solar power and depends on conventional fuel sources for the rest of its power requirement, this renewable power from Serentica will increase the quantum of renewables in the company’s overall energy mix, as per the statement. This marks a significant milestone in its ongoing commitment to sustainability and clean energy integration, the statement said, adding that this initiative aims to annually reduce about 0.45 million tonnes of CO2 emissions. ”This project will not only reduce our dependency on conventional fuels and minimise our total environmental footprint but also aid our transformation towards decarbonizing our operations, paving the way for a fully sustainable future,” Hindustan Zinc CEO Arun Misra said. ”The successful and ahead-of-schedule commissioning of Phase 1 (solar) in Bikaner exemplifies Serentica’s commitment to accelerating India’s clean energy transformation,” Akshay Hiranandani, CEO of Serentica Renewables, said. Hindustan Zinc Ltd is the world’s second-largest integrated zinc producer and the third-largest silver producer. Serentica provides renewable energy through a combination of solar, wind, energy storage and balancing solutions.
       ",Hindustan Zinc,Mining,1
"PepsiCo quarterly revenue misses on slowing demand for snacks, sodas","PepsiCo missed expectations for second-quarter revenue on Thursday as a series of price hikes and competition from private-label brands slowed sales of its snacks and soda mainly in the United States, its largest market. Analysts have said that product prices, which are starting to normalize almost after two years of multiple hikes, are still higher than the pre-pandemic levels, giving packaged-food companies such as PepsiCo little room to raise prices as volumes shrink. PepsiCo raised average prices on its products by 5% for the quarter ended June 15, in line with the first quarter. However, overall organic volumes slipped 3%.Data from NielsenIQ showed sales at Frito-Lay North America, the company's snacking business that sells Lay's and Doritos chips, fell nearly 1.3% in the four weeks ended June 15, while the overall salty snacks category in the United States saw a smaller 0.7% decline. Frito-Lay North America, which contributed about 27% to PepsiCo's total revenue in fiscal 2023, is the company's second-largest business after North America beverages unit, which accounted for about 30% of overall sales. Shares of the company fell 2.2% in premarket trading.Easing production and other expenses from pandemic peaks are giving companies some relief from a surge in costs.That and the impact of price hikes pushed up second-quarter gross margins by 120 basis points. The company's revenue rose 0.8% to $22.50 billion in the quarter, while analysts had estimated $22.57 billion, according to LSEG data.On an adjusted basis, PepsiCo earned $2.28 per share, beating estimates of $2.16 per share.
       ",PepsiCo,Consumer Staples,0
Pfizer moves forward with once-daily weight loss pill,"Pfizer said on Thursday it would advance a reworked, once-a-day version of its experimental obesity pill, danuglipron to clinical trials in the second half of this year, sending its shares 5% higher in premarket trading. The drugmaker last year said it was focusing on danuglipron's development after scrapping a separate, once-daily pill due to concerns about liver safety. Pfizer was testing both a once-daily modified release dosing and also a twice-daily form of danuglipron. It said early study results supported a once-daily dosing, with a safety profile consistent with prior danuglipron twice-daily dosage studies, including no liver enzyme elevations observed in more than 1,400 healthy adult volunteers. The Pfizer drug is part of the second-generation of weight loss pills, under development by companies including Eli Lilly and Novo Nordisk, that will offer patients more convenient dosing instead of injections.
       ",Pfizer,Healthcare,1
"Vedanta to raise up to Rs 1,000 crore via debentures","Mining conglomerate Vedanta Ltd on Thursday said it plans to raise up to Rs 1,000 crore through the issuance of debentures. In a regulatory filing the company said, its directors have approved the allotment of 1,00,000 non-convertible debentures aggregating to Rs 1,000 crore on a private placement basis. ""The duly constituted committee of directors of the company has approved the allotment of 1,00,000 secured, rated, listed, redeemable, non-convertible debentures (NCDs) of face value Rs 1,00,000 each aggregating to Rs 1,000 crore on a private placement basis,"" the filing said. Vedanta Ltd, a subsidiary of Vedanta Resources Ltd, is one of the world's leading natural resources companies. Spanning across India, South Africa, Namibia, Liberia, UAE, Korea, Taiwan and Japan with significant operations in oil and gas, zinc, lead, silver, copper, iron ore, steel, nickel, aluminium, power and glass substrate and foraying into semiconductors and display glass.
       ",Vedanta,Mining and Metals,1
ONGC higher on hopes of getting US waiver to lift Venezuelan oil,"Shares of Oil and Natural Gas Corp are trading higher after Reuters reported citing industry source that India's largest oil and gas exploration company has sought a waiver from the U.S. Office of Foreign Assets Control to lift crude oil from Venezuela. The report said ONGC is optimistic of winning an approval, according to a source who declining to be named. Earlier this year, US had reimposed sanctions on Venezuela citing that the country had broken an accord to hold free and fair elections. India and even American oil refiners had increased imports of Venezuelan oil in 2023 after a six-month waiver from sanctions was announced, which ended in April this year. Oil from Venezuela was among the cheapest for India's oil refiners, with average landed cost reported at $60.60 a barrel in January this year. The Reuters report added that ONGC has been hopeful of recovering $500 million worth of dividends pending since 2014 for the stake it holds in Venezuelan projects. ONGC has instead sought oil instead of the pending dividend, however there has not been much progress on that front so far. Crude oil has rallied this year helped by supply cuts by OPEC+, though a volatility has declined to multi-year lows in June.
       ",ONGC,Energy,1
"Electric mobility startup Vidyut launches offline pre-owned EV sales, financing platform","Bengaluru-based electric mobility startup Vidyut on Thursday announced the launch of its offline pre-owned EV sales and financing platform. The latest offline services have been made available in Delhi-NCR, Hyderabad and Bengaluru to begin with, while the plans are to expand them into six more markets including Mumbai, Chennai, Pune, Lucknow, Agra and Kanpur by the end of this fiscal, Vidyut said. The company said it plans to launch an online marketplace as well in the next six months. Under the new offering, the company will manage the end-to-end process from vehicle inspection and valuation to sale and RTO documentation for the owners, the Bengaluru-headquartered firm said. Currently, the platform offers resale of electric commercial three-wheelers from brands such as Mahindra, Piaggio, Euler Motors, Greaves and Altigreen, among others, it said. ""Absence of a robust resale market is one of the biggest roadblocks in the acceleration of EV adoption. With the launch of our EV resale platform, we will be focusing on accurate and transparent vehicle and battery valuation. ""Coupled with our battery subscription model and EV financing services, this approach mitigates the risk of the remaining battery life, uncertain resale value, EV loans, thereby accelerating EV adoption,"" said Xitij Kothi, Co-Founder, Vidyut. Vidyut started in November 2021 as a commercial EV financing platform. One of the major hurdles in EV adoption is the lack of accessibility to resale market and resale price discovery of EVs and, therefore, over the last two years, the company has built capabilities to inspect, value, sell and finance pre-owned EVs through its own demand generation platform for used EVs, the company said.
       ",Vidyut,Electric Vehicles/Automotive,0
